onset	duration	trial_type	trial_type_index	response_time	runNum	trialNum	task	categoryI	category	fixColorChange	fixColorChangeStimNum	fixColorChangeIncrement	stimRepeat	repeatStimNum	stim1File	stim1Index	stim2File	stim2Index	stim3File	stim3Index	stim4File	stim4Index	fontI	font	tstimulus1Ons	tISI1Ons	tstimulus2Ons	tISI2Ons	tstimulus3Ons	tISI3Ons	tstimulus4Ons	tISI4Ons	tTrialStart	tTrialEnd	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	didRecalib	quitDuringRecalib	taskName
10.6584949299995	4	PseudoSloan	6	0.70078	3	1	1	6	PseudoSloan	0	0	0	1	2	consonants_PseudoSloan_79.mat	79	consonants_PseudoSloan_79.mat	79	consonants_PseudoSloan_43.mat	43	consonants_PseudoSloan_91.mat	91	3	PseudoSloan	10.6832686499993	11.3832871300001	11.6832702299998	12.3832817749999	12.683268111	13.3832699559998	13.6832121970001	14.3832262830001	10.6584949299995	14.5718216389996	12.3841	1	1	8	14.3841	0	2	n/a	n/a	oneback
14.6150755689996	4	lowFreqWords	2	n/a	3	2	1	2	lowFreqWords	0	0	0	0	0	lowFreqWords_Courier New_42.mat	42	lowFreqWords_Courier New_88.mat	88	lowFreqWords_Courier New_60.mat	60	lowFreqWords_Courier New_80.mat	80	1	Courier New	14.683283157	15.3832850600002	15.6833016189994	16.3833241960001	16.6832803279995	17.3832897409993	17.6832146299994	18.3832718229996	14.6150755689996	18.5687852239998	n/a	1	1	8	18.384	0	n/a	n/a	n/a	oneback
18.5884729909994	4	femaleFaces	10	0.48085	3	3	1	10	femaleFaces	0	0	0	1	2	femaleFaces_59.mat	59	femaleFaces_59.mat	59	femaleFaces_33.mat	33	femaleFaces_86.mat	86	0	n/a	18.683282037	19.383323989	19.6832675179994	20.3832658729998	20.6833158519994	21.3833081539997	21.6832695200001	22.3833240539998	18.5884729909994	22.5680779979994	20.1641	1	1	7	21.6841	0	2	n/a	n/a	oneback
22.5862306789995	4	PseudoSloan	6	0.49289	3	4	1	6	PseudoSloan	0	0	0	1	2	highFreqWords_PseudoSloan_81.mat	81	highFreqWords_PseudoSloan_81.mat	81	highFreqWords_PseudoSloan_45.mat	45	highFreqWords_PseudoSloan_3.mat	3	3	PseudoSloan	22.6833280249994	23.3832828670002	23.6832372190001	24.3832833359993	24.6832837359998	25.3832886539994	25.6832186909996	26.3832859859995	22.5862306789995	26.5681752399996	24.1761	1	1	4	26.0338	0	2	n/a	n/a	oneback
26.5900477979994	4	lowFreqWordsFoveaSloan	5	n/a	3	5	1	5	lowFreqWordsFoveaSloan	0	0	0	0	0	lowFreqWordsFoveaSloan_Sloan_77.mat	77	lowFreqWordsFoveaSloan_Sloan_45.mat	45	lowFreqWordsFoveaSloan_Sloan_60.mat	60	lowFreqWordsFoveaSloan_Sloan_75.mat	75	2	Sloan	26.683323022	27.3832822949998	27.6832866859995	28.3833282549995	28.6832829689993	29.3832827489996	29.6832819989995	30.3833295049999	26.5900477979994	30.5717923029997	n/a	1	1	3	30.3842	0	n/a	n/a	n/a	oneback
30.6040724079994	4	blank	13	n/a	3	6	1	13	blank	0	0	0	0	0	n/a	0	n/a	0	n/a	0	n/a	0	0	n/a	30.683280405	31.3832824739993	31.6832993239996	32.3833212099998	32.6832667909994	33.3832654259995	33.683283243	34.383283231	30.6040724079994	34.567990519	n/a	1	1	2	32.684	0	n/a	n/a	n/a	oneback
34.5837979019998	4	lowFreqWordsFoveaSloan	5	n/a	3	7	1	5	lowFreqWordsFoveaSloan	1	2	6	0	0	lowFreqWordsFoveaSloan_Sloan_43.mat	43	lowFreqWordsFoveaSloan_Sloan_85.mat	85	lowFreqWordsFoveaSloan_Sloan_88.mat	88	lowFreqWordsFoveaSloan_Sloan_15.mat	15	2	Sloan	34.6833241989998	35.3832812809997	35.6832652449993	36.3832813609997	36.6832825299998	37.3832811080001	37.6832813410001	38.3833128400001	34.5837979019998	38.5676647099999	n/a	1	1	5	38.4197	0	n/a	n/a	n/a	oneback
38.5840754549999	4	PseudoCourier	7	n/a	3	8	1	7	PseudoCourier	1	2	2	0	0	highFreqWords_BACS2_12.mat	12	highFreqWords_BACS2_70.mat	70	highFreqWords_BACS2_79.mat	79	highFreqWords_BACS2_26.mat	26	4	BACS2	38.6832821889993	39.3833257019996	39.6832622909997	40.3833222519997	40.6832690639994	41.3832821209999	41.683271459	42.3832800059999	38.5840754549999	42.5676742790001	41.2299	1	1	4	40.4066	0	2	n/a	n/a	oneback
42.5831561389996	4	objects1	11	n/a	3	9	1	11	objects1	0	0	0	0	0	objects1_8.mat	8	objects1_4.mat	4	objects1_40.mat	40	objects1_87.mat	87	0	n/a	42.683236162	43.3832804569993	43.6832803299994	44.3833290510001	44.6832824499998	45.3833267949994	45.683247213	46.3832989069997	42.5831561389996	46.5675140529993	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
46.5838168959999	4	blank	13	n/a	3	10	1	13	blank	0	0	0	0	0	n/a	0	n/a	0	n/a	0	n/a	0	0	n/a	46.6832828309998	47.3832520979995	47.6832813949995	48.3832962460001	48.6832944489997	49.3832739789996	49.6832836359999	50.3832872029998	46.5838168959999	50.5676848980002	n/a	1	1	2	50.3841	0	n/a	n/a	n/a	oneback
