onset	trial_type	trial_type_index	response_time	runNum	trialNum	task	categoryI	category	fixColorChange	fixColorChangeStimNum	fixColorChangeIncrement	stimRepeat	repeatStimNum	baseFont	stim1File	stim1Index	stim2File	stim2Index	stim3File	stim3Index	stim4File	stim4Index	duration	tstimulus1Ons	tISI1Ons	tstimulus2Ons	tISI2Ons	tstimulus3Ons	tISI3Ons	tstimulus4Ons	tISI4Ons	tTrialStart	tTrialEnd	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	didRecalib	quitDuringRecalib	taskName
15.3525419780053	objects1	9	NaN	1	1	1	9	objects1	1	2	5	0	0	0	objects1_36.mat	36	objects1_61.mat	61	objects1_80.mat	80	objects1_91.mat	91	4	15.3814432530198	16.0810601569829	16.3820858949912	17.0811563220341	17.381613264035	18.0805558210122	18.3810667659855	19.0802728770068	15.3525419780053	19.2753023499972	NaN	1	1	1	16.4843938489794	0	NaN	NaN	NaN	oneback
19.3049284869921	consonants	4	0.443438353016973	1	2	1	4	consonants	0	0	0	1	3	0	consonants_Courier New_2.mat	2	consonants_Courier New_10.mat	10	consonants_Courier New_10.mat	10	consonants_Courier New_24.mat	24	4	19.3802089500241	20.0804487629794	20.3804352229927	21.0803865650087	21.3806827639928	22.0804603050346	22.3804770300048	23.079804796027	19.3049284869921	23.270403617993	21.8241211170098	1	1	5	23.0925739940139	0	2	NaN	NaN	oneback
23.2875286450144	blank	11	NaN	1	3	1	11	blank	0	0	0	0	0	0		0		0		0		0	4	23.3966493390035	24.0966272120131	24.3964603010099	25.0965786239831	25.3966659010039	26.095395908982	26.3970762700192	27.0966394440038	23.2875286450144	27.2864289830322	NaN	1	1	8	27.1095630300115	0	NaN	NaN	NaN	oneback
27.3046560339862	consonants	4	NaN	1	4	1	4	consonants	0	0	0	0	0	0	consonants_Courier New_20.mat	20	consonants_Courier New_61.mat	61	consonants_Courier New_48.mat	48	consonants_Courier New_25.mat	25	4	27.3966614020173	28.0960241300054	28.3961400419939	29.0950593320304	29.3960788000259	30.0961286880192	30.3961346300202	31.0961812509922	27.3046560339862	31.2874268949963	NaN	1	1	3	30.1475262130261	0	NaN	NaN	NaN	oneback
31.3079820839921	PseudoSloan	5	0.703455387032591	1	5	1	5	PseudoSloan	0	0	0	1	2	0	lowFreqWords_PseudoSloan_41.mat	41	lowFreqWords_PseudoSloan_41.mat	41	lowFreqWords_PseudoSloan_79.mat	79	lowFreqWords_PseudoSloan_39.mat	39	4	31.3961849089828	32.0958385540289	32.396081444982	33.0952455329825	33.3955639810301	34.094214524026	34.3955707330024	35.0955918719992	31.3079820839921	35.290835627995	33.0995368320146	1	1	7	34.4082248550258	0	2	NaN	NaN	oneback
35.3195816100342	highFreqWords	1	0.457739661971573	1	6	1	1	highFreqWords	0	0	0	1	2	0	highFreqWords_Courier New_94.mat	94	highFreqWords_Courier New_94.mat	94	highFreqWords_Courier New_52.mat	52	highFreqWords_Courier New_2.mat	2	4	35.3956056460156	36.095553489984	36.3954277330195	37.0956027469947	37.3955243470264	38.0937424480217	38.3948831540183	39.0949107880006	35.3195816100342	39.2888043550192	36.853167394991	1	1	5	39.1088183730026	0	2	NaN	NaN	oneback
39.3043366519851	PseudoCourier	6	NaN	1	7	1	6	PseudoCourier	0	0	0	1	4	0	pseudowords_BACS2_7.mat	7	pseudowords_BACS2_75.mat	75	pseudowords_BACS2_11.mat	11	pseudowords_BACS2_11.mat	11	4	39.3952855520183	40.0938511760323	40.3949140160112	41.0948913019965	41.3950027840328	42.0949292849982	42.3949770610197	43.0942479700316	39.3043366519851	43.2856809560326	NaN	1	1	5	43.1076299630222	0	NaN	NaN	NaN	oneback
43.3010347940144	pseudowords	3	NaN	1	8	1	3	pseudowords	1	2	5	0	0	0	pseudowords_Courier New_47.mat	47	pseudowords_Courier New_39.mat	39	pseudowords_Courier New_15.mat	15	pseudowords_Courier New_23.mat	23	4	43.3943676379859	44.0944134800229	44.3944932860322	45.0946234969888	45.394367978035	46.0942908970173	46.3943745390279	47.0943892890355	43.3010347940144	47.2899872150156	NaN	1	1	7	47.1071666330099	0	NaN	NaN	NaN	oneback
47.3046348480275	PseudoSloan	5	NaN	1	9	1	5	PseudoSloan	1	3	3	0	0	0	consonants_PseudoSloan_57.mat	57	consonants_PseudoSloan_53.mat	53	consonants_PseudoSloan_46.mat	46	consonants_PseudoSloan_58.mat	58	4	47.3941639889963	48.093837242981	48.3940610249992	49.0938840510207	49.3939878999954	50.093853450031	50.3941672330257	51.0937452210346	47.3046348480275	51.2819042960182	NaN	1	1	7	51.1070278990082	0	NaN	NaN	NaN	oneback
51.2969350509811	consonants	4	NaN	1	10	1	4	consonants	1	3	4	0	0	0	consonants_Courier New_87.mat	87	consonants_Courier New_94.mat	94	consonants_Courier New_18.mat	18	consonants_Courier New_39.mat	39	4	51.3939148199861	52.0937601089827	52.3938193659997	53.0933096460067	53.3934061169857	54.0933674520347	54.3933846920263	55.0923806750216	51.2969350509811	55.2841797870351	NaN	1	1	8	55.1059055770165	0	NaN	NaN	NaN	oneback
