onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	fixationTargColr	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	year	month	day	runNumber	RT
10.6815198449995	0.149993821619883	3	AttndStim	letters	1.03229706000002	8	1	1	1	1	1	8	2	1	0	2	226	4	past				high	273.79	89390	17	618.364	real	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	10.6815198449995	10.8315322339995	10.6352520019991	11.7138169049995	1	1	1	10.6839465389994	0	2	0	1	0	0	NaN	14.516527584	2021	2	25	8	1032.29706000002
14.6815146239996	0.149993821619883	-9	AttndStim	letters	1.12920728599966	8	1	2	2	1	1	1	1	1	0	2	123	4	toto				0	0	NaN	3	NaN	pseudo	1	-9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	14.6815146239996	14.8315747369998	14.5546103789993	15.8107219099993	0	1	0	NaN	0	1	0	1	0	0	NaN	18.5157629219993	2021	2	25	8	1129.20728599966
18.6815096029995	0.149993821619883	-1.5	AttndStim	letters	0.594182724999882	8	1	3	3	1	1	5	2	1	0	1	155	4	good				high	902.74	628816	9	632.613	real	1	-1.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	18.6815096029995	18.8315401119999	18.5410825189992	19.2756923279994	1	1	1	18.6907007279997	0	2	0	1	0	0	NaN	22.516558067	2021	2	25	8	594.182724999882
22.6815676589995	0.149993821619883	-4.5	AttndStim	letters	0.684280530999786	8	1	4	4	1	1	3	2	1	1	1	234	4	land				high	260.46	75075	12	594.152	real	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	22.6815676589995	22.8314871069997	22.5361399279991	23.3658481899993	1	1	1	22.7054048759992	0	2	0	1	0	0	NaN	26.5154834289997	2021	2	25	8	684.280530999786
26.6815593729998	0.149993821619883	-4.5	AttndStim	letters	0.725127593999787	8	1	5	5	1	1	3	2	1	1	2	135	4	then				high	1820	705900	7	567.531	real	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	26.6815593729998	26.8315243259995	26.5413474179995	27.4066869669996	1	1	1	26.6822680289997	0	2	0	1	0	0	NaN	30.5177004559991	2021	2	25	8	725.127593999787
30.6815310339998	0.149993821619883	-6	AttndStim	letters	1.29234734799957	8	1	6	6	1	1	2	1	1	0	1	112	4	lito				0	0	NaN	3	NaN	pseudo	1	-6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	30.6815310339998	30.831490347	30.5503802459998	31.9738783819994	1	1	1	30.6821703629994	0	1	0	1	0	0	NaN	34.5157036959999	2021	2	25	8	1292.34734799957
42.6815806979994	0.149993821619883	-3	AttndStim	shapes	1.47130565299994	8	2	1	7	1	2	4	1	1	1	2	14	4	2	2	1	2		0	0	0	0	pseudo	1	-3	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.660083802595045	42.6815806979994	42.8316087429994	42.5453937189995	44.1528863509993	1	1	1	42.6820612619995	0	1	0	1	0	0	NaN	46.515803024	2021	2	25	8	1471.30565299994
46.6814999229991	0.149993821619883	-3	AttndStim	shapes	1.00440427500052	8	2	2	8	1	2	4	1	1	0	1	5	4	2	1	1	1		0	0	0	0	pseudo	2	-3	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.880111736793393	46.6814999229991	46.8315776969994	46.5349766939999	47.6859041979997	0	1	0	NaN	0	1	0	1	0	0	NaN	50.5161466419995	2021	2	25	8	1004.40427500052
50.6815916109999	0.149993821619883	-4.5	AttndStim	shapes	0.679235831999904	8	2	3	9	1	2	3	1	1	1	2	6	4	1	1	2	2		0	0	0	0	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	50.6815916109999	50.8314983599994	50.5341650969995	51.3608274429998	0	1	0	NaN	0	1	0	1	0	0	NaN	54.5154004659998	2021	2	25	8	679.235831999904
54.6815415929996	0.149993821619883	3	AttndStim	shapes	0.636190919999535	8	2	4	10	1	2	8	2	1	1	2	2	4	1	1	1	2		0	0	0	0	real	2	3	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.580947501931112	54.6815415929996	54.8315537249991	54.5333805429991	55.3177325129991	1	1	1	54.6818196529994	0	2	0	1	0	0	NaN	58.5153338959999	2021	2	25	8	636.190919999535
